报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,211.113,335.81,268.852,409.765
除税前盈利/(亏损),2.207,12.244,10.934,15.907
税项,-1.582,-1.975,-0.937,-4.736
除税后盈利/(亏损),0.625,10.269,9.997,11.171
少数股东权益,,,,
股东应占盈利/(亏损),0.625,10.269,9.997,11.171
股息,,,,
除税及股息后盈利/(亏损),0.625,10.269,9.997,11.171
基本每股盈利(仙),0.001600,,0.025000,
摊薄每股盈利(仙),0.001600,--,0.025000,--
每股股息(仙),--,--,--,--
销售成本,-118.988,-209.711,-171.832,-278.745
折旧,-2.402,-4.542,-2.316,-6.199
销售及分销费用,-30.052,-42.063,-32.414,-42.895
一般及行政费用,-50.044,-70.578,-53.788,-73.658
利息费用/融资成本,-2.097,-2.216,-1.562,-2.056
毛利,92.125,126.099,97.02,131.02
经营盈利,2.207,12.244,10.934,15.907
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
