报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,202.319,216.865,235.351
除税前盈利/(亏损),34.383,22.403,29.186
税项,-6.09,-3.483,-4.868
除税后盈利/(亏损),28.293,18.92,24.318
少数股东权益,,,
股东应占盈利/(亏损),28.293,18.92,24.318
股息,,,
除税及股息后盈利/(亏损),28.293,18.92,24.318
基本每股盈利(仙),4.710000,3.150000,4.050000
摊薄每股盈利(仙),4.710000,3.150000,4.050000
每股股息(仙),--,--,--
销售成本,-138.097,-169.313,-187.263
折旧,-0.573,-0.457,-0.304
销售及分销费用,-8.233,-5.799,-5.722
一般及行政费用,-20.28,-17.318,-13.69
利息费用/融资成本,-2.501,-2.439,-3.155
毛利,64.222,47.552,48.088
经营盈利,34.383,22.403,29.186
应占联营公司盈利,--,--,--
币种,港币,港币,港币
