报告期,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-06-30,2011-12-31,2011-06-30
报表类型,中报,年报,中报,年报,中报,中报,年报,中报
营业额,27.144,421.127,315.784,773.302,338.448,8.195,49.55,36.652
除税前盈利/(亏损),-89.528,-989.279,-21.576,-265.217,-25.716,-51.939,-661.232,-31.651
税项,12.815,74.702,,,,-0.014,,
除税后盈利/(亏损),-76.713,-914.577,-21.576,-265.217,-25.716,-51.953,-661.232,-31.651
少数股东权益,-19.904,-121.515,1.217,-3.34,-0.3,-0.052,-2.947,-0.674
股东应占盈利/(亏损),-56.809,-793.062,-22.793,-261.877,-25.416,-51.901,-658.285,-30.977
股息,,,,,,,,
除税及股息后盈利/(亏损),-56.809,-793.062,-22.793,-261.877,-25.416,-51.901,-658.285,-30.977
基本每股盈利(仙),-0.710000,-10.630000,-0.310000,-4.050000,-0.400000,-1.240000,-16.240000,-0.780000
摊薄每股盈利(仙),--,--,--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-26.05,-396.504,-290.167,-757.987,-332.783,-4.577,-41.157,-26.748
折旧,-1.768,-3.961,-0.681,-0.533,-1.427,-0.74,-2.744,-0.43
销售及分销费用,--,-14.916,-14.605,-30.609,-6.312,-0.763,-1.6,-0.91
一般及行政费用,-86.568,-664.086,-35.794,-142.216,-23.477,-19.682,-99.315,-32.075
利息费用/融资成本,-4.077,-8.962,-1.443,--,-0.8,-1.404,-0.45,-0.251
毛利,1.094,24.623,25.617,15.315,5.665,3.618,8.393,9.904
经营盈利,-89.528,-989.279,-21.576,-265.217,-25.716,-51.939,-661.232,-31.651
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
