报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,21.064,9.457,46.12,27.441,193.967,121.569,133.37,35.206
除税前盈利/(亏损),-378.168,-235.71,-324.869,-232.553,-77.869,-31.198,759.327,-43.244
税项,-1.138,-0.989,8.327,11.545,-79.172,-24.304,-0.45,
除税后盈利/(亏损),-379.306,-236.699,-316.542,-221.008,-157.041,-55.502,758.877,-43.244
少数股东权益,-0.252,-0.145,0.146,-0.16,-4.622,-3.322,0.021,-0.196
股东应占盈利/(亏损),-379.054,-236.554,-316.688,-220.848,-152.419,-52.18,758.856,-43.048
股息,,,,,,,,
除税及股息后盈利/(亏损),-379.054,-236.554,-316.688,-220.848,-152.419,-52.18,758.856,-43.048
基本每股盈利(仙),-16.000000,-9.770000,-13.000000,-9.200000,-21.000000,-11.450000,173.000000,-10.060000
摊薄每股盈利(仙),-16.000000,-9.770000,-13.000000,-9.200000,-21.000000,-11.450000,173.000000,-10.060000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,--,--,--,--,--,--,--,--
折旧,-18.531,-8.134,-7.992,-2.833,-2.567,-1.557,-3.583,-1.683
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,--,--,--,--,--,--,--,--
利息费用/融资成本,-9.473,-3.574,-0.097,--,-0.06,-0.055,-0.154,-0.036
毛利,21.064,9.457,46.12,27.441,193.967,121.569,133.37,35.206
经营盈利,-366.563,-235.71,-316.654,-232.553,-79.192,-28.746,759.46,-42.381
应占联营公司盈利,--,--,--,--,0.567,-1.683,-1.193,-0.827
币种,港币,港币,港币,港币,港币,港币,港币,港币
