报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,15.666,16.794,17.576,10.144
除税前盈利/(亏损),-0.782,3.974,4.257,2.727
税项,-1.764,-1.136,-1.63,-0.914
除税后盈利/(亏损),-2.546,2.838,2.627,1.813
少数股东权益,,,,
股东应占盈利/(亏损),-2.546,2.838,2.627,1.813
股息,,,,
除税及股息后盈利/(亏损),-2.546,2.838,2.627,1.813
基本每股盈利(仙),-0.760000,,,
摊薄每股盈利(仙),-0.760000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-3.22,-3.518,-3.909,-1.16
折旧,-0.232,-0.238,-0.204,-0.169
销售及分销费用,-4.482,-5.085,-5.609,-3.324
一般及行政费用,-6.977,-2.897,-2.122,-1.813
利息费用/融资成本,--,--,-0.002,-0.005
毛利,12.446,13.276,13.667,8.984
经营盈利,-0.782,3.974,4.257,2.727
应占联营公司盈利,--,--,--,--
币种,美元,美元,美元,美元
