报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
报表类型,一季报,年报,一季报,年报,年报,年报
营业额,98.048,271.643,45.843,141.82,73.683,75.072
除税前盈利/(亏损),22.645,45.179,9.968,32.788,11.815,12.531
税项,-1.434,-4.483,-0.846,1.043,-1.872,-1.964
除税后盈利/(亏损),21.211,40.696,9.122,33.831,9.943,10.567
少数股东权益,,1.05,0.957,2.556,0.337,1.511
股东应占盈利/(亏损),21.211,39.646,8.165,31.275,9.606,9.056
股息,,,,,,
除税及股息后盈利/(亏损),21.211,39.646,8.165,31.275,9.606,9.056
基本每股盈利(仙),1.330000,2.820000,0.580000,,,
摊薄每股盈利(仙),1.330000,2.820000,0.580000,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-68.515,-194.434,-32.811,-96.682,-53.009,-53.385
折旧,--,-2.412,--,-2.715,-2.423,-2.451
销售及分销费用,-0.128,-5.257,-0.778,-2.939,-2.196,-1.966
一般及行政费用,-12.553,-32.39,-6.077,-14.935,-9.779,-9.376
利息费用/融资成本,-0.049,-0.012,-0.004,-0.015,-0.007,-0.258
毛利,29.533,77.209,13.032,45.138,20.674,21.687
经营盈利,22.713,45.229,9.972,32.803,11.822,12.789
应占联营公司盈利,-0.019,-0.038,--,--,--,--
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
