报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,238.31,96.305,310.708,126.289,319.273,269.903,268.655
除税前盈利/(亏损),6.409,1.919,-6.608,3.662,25.517,16.735,19.538
税项,-1.685,-0.552,-2.827,-2.142,-3.625,-2.156,-2.5
除税后盈利/(亏损),4.724,1.367,-9.435,1.52,21.892,14.579,17.038
少数股东权益,,,,,,,
股东应占盈利/(亏损),4.724,1.367,-9.435,1.52,21.892,14.579,17.038
股息,,,,,,15.364,11.163
除税及股息后盈利/(亏损),4.724,1.367,-9.435,1.52,21.892,-0.785,5.875
基本每股盈利(仙),0.940000,0.270000,-2.430000,0.410000,,,
摊薄每股盈利(仙),0.940000,0.270000,-2.430000,0.410000,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-193.363,-80.096,-246.114,-96.268,-252.9,-220.58,-217.627
折旧,-3.475,-1.746,-3.468,-1.68,-3.562,-2.993,-2.759
销售及分销费用,-17.987,-6.998,-17.947,-6.539,-17.225,-13.36,-12.271
一般及行政费用,-25.926,-10.292,-52.217,-19.991,-24.201,-18.689,-17.554
利息费用/融资成本,-1.092,-0.588,-1.593,-0.613,-1.629,-1.386,-2.605
毛利,44.947,16.209,64.594,30.021,66.373,49.323,51.028
经营盈利,6.958,2.209,-5.537,3.923,26.428,17.062,21.548
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
