报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,108.655,205.25,95.337,210.84,99.323,225.788,195.461
除税前盈利/(亏损),1.83,5.343,-1.255,16.657,3.094,29.112,41.289
税项,-0.924,-2.261,-0.733,-4.364,-1.448,-5.938,-6.714
除税后盈利/(亏损),0.906,3.082,-1.988,12.293,1.646,23.174,34.575
少数股东权益,,,,,,,
股东应占盈利/(亏损),0.906,3.082,-1.988,12.293,1.646,23.174,34.575
股息,,7.1,,10.7,,,30
除税及股息后盈利/(亏损),0.906,-4.018,-1.988,1.593,1.646,23.174,4.575
基本每股盈利(仙),0.120000,0.460000,-0.340000,,0.290000,,
摊薄每股盈利(仙),0.120000,0.460000,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-16.347,-30.051,-14.237,-30.498,-13.221,-35.924,-31.781
折旧,-1.015,-1.208,-0.585,-1.412,-0.799,-2.276,-1.146
销售及分销费用,-77.481,-138.16,-64.611,-134.235,-67.526,-140.168,-109.245
一般及行政费用,-13.122,-31.209,-17.693,-30.429,-16.349,-20.9,-13.905
利息费用/融资成本,--,-0.302,-0.193,-0.441,-0.24,-0.207,-0.092
毛利,92.308,175.199,81.1,180.342,86.102,189.864,163.68
经营盈利,1.83,5.645,-1.062,17.098,3.334,29.319,41.381
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
