报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,10.568,10.267,5.228,3.951,1.91,8.738,159.031,2.384
除税前盈利/(亏损),-52.474,-85.842,-72.481,-77.699,-40.911,-348.701,-174.308,-141.017
税项,,-0.213,,,,-0.213,,
除税后盈利/(亏损),-52.474,-86.055,-72.481,-77.699,-40.911,-348.914,-174.308,-141.017
少数股东权益,0.193,0.407,0.526,0.348,0.175,2.014,0.555,0.392
股东应占盈利/(亏损),-52.667,-86.462,-73.007,-78.047,-41.086,-350.928,-174.863,-141.409
股息,,,,,,,,
除税及股息后盈利/(亏损),-52.667,-86.462,-73.007,-78.047,-41.086,-350.928,-174.863,-141.409
基本每股盈利(仙),-25.470000,-57.790000,-53.960000,-67.010000,-3.580000,-34.470000,-17.680000,-14.370000
摊薄每股盈利(仙),--,--,-53.960000,-67.010000,-3.580000,--,-17.680000,-14.370000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-9.068,-4.312,-0.228,-0.154,-0.067,-0.271,-0.191,-0.136
折旧,-0.698,-2.58,-2.333,-1.447,-0.641,-2.649,-2.007,-1.31
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-21.122,-80.221,-58.617,-36.181,-16.016,-103.302,-67.895,-50.112
利息费用/融资成本,-5.454,-20.673,-15.489,-10.877,-5.136,-35.019,-26.68,-18.396
毛利,1.5,5.955,5,3.797,1.843,8.467,3.578,2.248
经营盈利,-47.02,-65.169,-56.992,-66.822,-35.775,-313.682,-147.628,-122.621
应占联营公司盈利,--,0.224,--,--,-0.003,0.014,-0.062,-0.062
币种,港币,港币,港币,港币,港币,港币,港币,港币
