报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,3620.8,1431.3,2804.3,1516.3,2934,1286,2330.4,1073.9
除税前盈利/(亏损),870.1,260.5,242.2,-7.5,37,108.8,418,12.1
税项,-91.5,-35.9,-4.1,20.1,-16.1,-5.7,18.7,45.9
除税后盈利/(亏损),778.6,224.6,238.1,12.6,20.9,103.1,436.7,58
少数股东权益,397.4,119.3,101.9,11.3,16.3,52.3,240.1,47.8
股东应占盈利/(亏损),381.2,105.3,136.2,1.3,4.6,50.8,196.6,10.2
股息,75.3,20.8,64.1,20.2,64.1,20.2,84.3,20.2
除税及股息后盈利/(亏损),305.9,84.5,72.1,-18.9,-59.5,30.6,112.3,-10
基本每股盈利(仙),11.900000,3.290000,4.250000,0.040000,0.140000,1.590000,6.130000,0.320000
摊薄每股盈利(仙),11.900000,3.290000,4.250000,0.040000,0.140000,1.590000,6.130000,0.320000
每股股息(仙),2.350000,0.650000,2.000000,0.630000,2.000000,0.630000,2.630000,0.630000
销售成本,-2351.9,-897.7,-1639.3,-964.9,-1699.3,-755,-1212.3,-550.6
折旧,-611.2,-305.9,-617.2,-307.8,-582.1,-287.4,-525.9,-248.2
销售及分销费用,-42.3,-21.9,-57.6,-30.8,-46.7,-6.2,--,--
一般及行政费用,-391.9,-184.5,-406,-176.1,-372.6,-158.3,-383.4,-185.6
利息费用/融资成本,-309.4,-155.3,-310.1,-120.5,-229.4,-116.6,-236,-114.5
毛利,1268.9,533.6,1165,551.4,1234.7,531,1118.1,523.3
经营盈利,1212.2,428.7,566.4,117.4,291.2,243,676,138.1
应占联营公司盈利,-32.7,-12.9,-14.1,-4.4,-24.8,-17.6,-22,-11.5
币种,港币,港币,港币,港币,港币,港币,港币,港币
