报告期,2017-06-30,2016-06-30,2015-06-30
报表类型,年报,年报,年报
营业额,14.937418,9.793083,13.244503
除税前盈利/(亏损),6.068386,3.021291,4.120338
税项,-0.917764,-0.340367,-0.653575
除税后盈利/(亏损),5.150622,2.680924,3.466763
少数股东权益,,,
股东应占盈利/(亏损),5.150622,2.680924,3.466763
股息,,,
除税及股息后盈利/(亏损),5.150622,2.680924,3.466763
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-8.432129,-6.18749,-7.971327
折旧,-0.098582,-0.076253,-0.078271
销售及分销费用,--,--,--
一般及行政费用,-0.618196,-0.634716,-1.173671
利息费用/融资成本,--,-0.000225,-0.002327
毛利,6.505289,3.605593,5.273176
经营盈利,6.068386,3.021291,4.120338
应占联营公司盈利,--,--,--
币种,新加坡元,新加坡元,新加坡元
