报告期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
报表类型,一季报,年报,三季报,一季报,年报,三季报,年报
营业额,6.359,27.593,20.953,7.535,28.177,20.844,29.171
除税前盈利/(亏损),0.086,-0.675,-1.065,-0.024,1.551,1.879,2.062
税项,-0.042,-0.401,-0.283,-0.132,-0.341,-0.406,-0.352
除税后盈利/(亏损),0.044,-1.076,-1.348,-0.156,1.21,1.473,1.71
少数股东权益,-0.005,-0.01,-0.007,-0.005,-0.011,-0.007,
股东应占盈利/(亏损),0.049,-1.066,-1.341,-0.151,1.221,1.48,1.71
股息,,,,,,,
除税及股息后盈利/(亏损),0.049,-1.066,-1.341,-0.151,1.221,1.48,1.71
基本每股盈利(仙),0.010000,-0.210000,-0.280000,-0.030000,,0.310000,
摊薄每股盈利(仙),0.010000,--,-0.280000,-0.030000,--,0.310000,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-4.696,-20.19,-15.466,-5.523,-21.016,-15.507,-22.063
折旧,--,-0.434,--,--,-0.36,--,-0.411
销售及分销费用,-0.75,-2.643,-1.625,-0.602,-2.446,-1.499,-1.85
一般及行政费用,-0.933,-5.752,-5.192,-1.526,-3.486,-2.206,-3.31
利息费用/融资成本,-0.051,-0.194,-0.138,-0.035,-0.108,-0.076,-0.077
毛利,1.663,7.403,5.487,2.012,7.161,5.337,7.108
经营盈利,0.086,-0.675,-1.065,-0.024,1.551,1.879,2.062
应占联营公司盈利,--,--,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
