报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,3903.65,1911.805,4354.676,1513.934,2956.848,1584.942,3354.614,38.692
除税前盈利/(亏损),5.783,-20.457,190.291,141.568,165.921,110.243,388.556,227.697
税项,-37.296,-9.612,-44.895,-33.108,-31.854,-14.034,-44.094,
除税后盈利/(亏损),-31.513,-30.069,145.396,108.46,134.067,96.209,344.462,227.697
少数股东权益,-22.941,-19.996,37.486,,,,,
股东应占盈利/(亏损),-8.572,-10.073,107.91,108.46,134.067,96.209,344.462,227.697
股息,,,11.487,,,,,
除税及股息后盈利/(亏损),-8.572,-10.073,96.423,108.46,134.067,96.209,344.462,227.697
基本每股盈利(仙),-1.490000,-1.750000,18.730000,1.880000,2.540000,2.020000,15.140000,10.180000
摊薄每股盈利(仙),-1.490000,-1.750000,18.730000,1.880000,2.540000,2.020000,15.140000,10.180000
每股股息(仙),--,--,2.000000,--,--,--,--,--
销售成本,-3156.431,-1548.462,-3428.071,-1130.181,-2282.088,-1248.579,-2583.901,-37.422
折旧,-107.817,-51.393,-94.139,-20.92,-37.67,-18.872,-51.444,-4.682
销售及分销费用,-49.201,-18.962,-60.278,-17.321,-24.986,-8.333,-39.161,-2.147
一般及行政费用,-236.289,-149.994,-266.381,-118.199,-185.147,-121.939,-267.408,-13.56
利息费用/融资成本,-13.719,-4.871,-13.623,-0.688,-3.325,-0.836,-6.764,-1.314
毛利,747.219,363.343,926.605,383.753,674.76,336.363,770.713,1.27
经营盈利,5.783,-20.457,190.291,141.568,165.921,110.243,388.556,229.011
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,人民币
