报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,180.522,156.409,110.125
除税前盈利/(亏损),4.401,12.252,4.4
税项,-2.409,-2.332,-0.512
除税后盈利/(亏损),1.992,9.92,3.888
少数股东权益,,,
股东应占盈利/(亏损),1.992,9.92,3.888
股息,,,
除税及股息后盈利/(亏损),1.992,9.92,3.888
基本每股盈利(仙),0.440000,2.400000,1.310000
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-142.842,-123.555,-87.503
折旧,-6.435,-6.063,-5.588
销售及分销费用,-10.725,-8.979,-9.727
一般及行政费用,-13.969,-11.986,-10.077
利息费用/融资成本,-3.792,-5.328,-3.998
毛利,37.68,32.854,22.622
经营盈利,4.401,12.252,4.4
应占联营公司盈利,--,--,--
币种,港币,港币,港币
