报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,65.665,63.696,84.003
除税前盈利/(亏损),-4.364,5.529,8.577
税项,-1.053,-1.733,-2.528
除税后盈利/(亏损),-5.417,3.796,6.049
少数股东权益,,,0.09
股东应占盈利/(亏损),-5.417,3.796,5.959
股息,,,
除税及股息后盈利/(亏损),-5.417,3.796,5.959
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-56.403,-55.8,-72.52
折旧,-4.058,-3.912,-3.751
销售及分销费用,-0.523,-0.636,-1.151
一般及行政费用,-13.115,-1.661,-2.096
利息费用/融资成本,--,--,--
毛利,9.262,7.896,11.483
经营盈利,-4.364,5.529,8.577
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
