报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,4095.066,2556.866,1606.64,466.208
除税前盈利/(亏损),645.73,38.318,-317.142,4.116
税项,-83.038,-7.958,-37.017,-25.246
除税后盈利/(亏损),562.692,30.36,-354.159,-21.13
少数股东权益,6.563,-6.323,-6.575,
股东应占盈利/(亏损),556.129,36.683,-347.584,-21.13
股息,,,,
除税及股息后盈利/(亏损),556.129,36.683,-347.584,-21.13
基本每股盈利(仙),74.000000,5.000000,-52.000000,-7.000000
摊薄每股盈利(仙),72.000000,-8.000000,-52.000000,-7.000000
每股股息(仙),--,--,--,--
销售成本,-2019.626,-1502.019,-1026.106,-263.965
折旧,-22.239,-14.531,-12.284,-1.409
销售及分销费用,-965.121,-734.176,-539.617,-127.207
一般及行政费用,-710.266,-421.264,-355.54,-70.928
利息费用/融资成本,-35.17,-27.092,-16.881,-0.172
毛利,2075.44,1054.847,580.534,202.243
经营盈利,510.776,33.323,-307.76,3.979
应占联营公司盈利,4.501,0.167,-4.371,--
币种,人民币,人民币,人民币,人民币
