报告期,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报
营业额,374.863,207.233,127.228
除税前盈利/(亏损),169.193,63.376,12.274
税项,-49.119,-16.992,-3.945
除税后盈利/(亏损),120.074,46.384,8.329
少数股东权益,4.969,,
股东应占盈利/(亏损),115.105,46.384,8.329
股息,,,
除税及股息后盈利/(亏损),115.105,46.384,8.329
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-173.597,-126.857,-108.515
折旧,-0.551,-0.48,-0.066
销售及分销费用,-8.279,-4.368,-1.148
一般及行政费用,-25.782,-13.316,-6.475
利息费用/融资成本,-0.16,-0.013,-0.053
毛利,201.266,80.376,18.713
经营盈利,169.084,63.159,12.292
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
