报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,85.669,42.293,73.161,35.922,69.005,57.939
除税前盈利/(亏损),5.268,5.484,14.318,8.086,19.035,14.832
税项,-0.011,,-0.003,,-0.003,0.077
除税后盈利/(亏损),5.257,5.484,14.315,8.086,19.032,14.909
少数股东权益,,,0.013,-0.001,-0.018,-0.036
股东应占盈利/(亏损),5.257,5.484,14.302,8.087,19.05,14.945
股息,8,8,17.3,,16.356,13.584
除税及股息后盈利/(亏损),-2.743,-2.516,-2.998,8.087,2.694,1.361
基本每股盈利(仙),1.510000,1.830000,,2.700000,,
摊薄每股盈利(仙),--,--,--,--,--,--
每股股息(仙),2.000000,2.000000,--,--,--,--
销售成本,--,--,--,--,--,--
折旧,-1.331,-0.538,-1.343,-0.652,-1.481,-1.888
销售及分销费用,--,--,--,--,--,--
一般及行政费用,--,--,--,--,--,--
利息费用/融资成本,-0.278,-0.137,-0.248,-0.085,-0.051,-0.055
毛利,85.669,42.293,73.161,35.922,69.005,57.939
经营盈利,5.546,5.621,14.566,8.171,19.086,14.887
应占联营公司盈利,--,--,--,--,--,--
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
