报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,13.093,45.196,10.411,30.068,29.942
除税前盈利/(亏损),2.232,3.948,1.331,3.282,2.877
税项,-0.393,-1.345,-0.514,-0.308,-0.374
除税后盈利/(亏损),1.839,2.603,0.817,2.974,2.503
少数股东权益,,,,,
股东应占盈利/(亏损),1.839,2.603,0.817,2.974,2.503
股息,,,,,
除税及股息后盈利/(亏损),1.839,2.603,0.817,2.974,2.503
基本每股盈利(仙),0.460000,0.840000,0.270000,,
摊薄每股盈利(仙),0.460000,0.840000,0.270000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-9.803,-32.9,-7.058,-24.286,-24.122
折旧,-0.024,-0.307,-0.038,-0.309,-0.241
销售及分销费用,--,--,--,--,--
一般及行政费用,-1.077,-8.701,-2.049,-2.626,-2.58
利息费用/融资成本,-0.013,-0.04,-0.01,-0.037,-0.023
毛利,3.29,12.296,3.353,5.782,5.82
经营盈利,2.232,3.948,1.331,3.282,2.877
应占联营公司盈利,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
