报告期,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
报表类型,三季报,一季报,年报,三季报,年报
营业额,163.886,20.243,165.098,143.949,170.807
除税前盈利/(亏损),18.123,-6.273,17.13,26.015,15.812
税项,-4.978,-0.081,-3.47,-4.538,-2.929
除税后盈利/(亏损),13.145,-6.354,13.66,21.477,12.883
少数股东权益,,,,,
股东应占盈利/(亏损),13.145,-6.354,13.66,21.477,12.883
股息,,,,,
除税及股息后盈利/(亏损),13.145,-6.354,13.66,21.477,12.883
基本每股盈利(仙),4.380000,-2.100000,,7.160000,
摊薄每股盈利(仙),4.380000,-2.100000,--,7.160000,--
每股股息(仙),--,--,--,--,--
销售成本,-107.496,-12.892,-104.698,-89.424,-119.583
折旧,-1.022,-0.347,-1.551,-1.135,-1.826
销售及分销费用,-9.31,-1.52,-15.077,-11.388,-13.302
一般及行政费用,-27.352,-12.317,-29.475,-17.482,-23.679
利息费用/融资成本,-0.015,-0.025,-0.211,-0.045,-0.298
毛利,56.39,7.351,60.4,54.525,51.224
经营盈利,18.123,-6.273,17.273,26.015,16.071
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
