报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,797.888217,592.082843,526.081752
除税前盈利/(亏损),55.806908,47.962593,67.136624
税项,-18.845753,-14.148111,-14.233167
除税后盈利/(亏损),36.961155,33.814482,52.903457
少数股东权益,-8.009133,-1.429991,0.07366
股东应占盈利/(亏损),44.970288,35.244473,52.829797
股息,,,
除税及股息后盈利/(亏损),44.970288,35.244473,52.829797
基本每股盈利(仙),45.000000,35.000000,53.000000
摊薄每股盈利(仙),45.000000,35.000000,53.000000
每股股息(仙),--,--,--
销售成本,-366.62791,-303.973449,-273.677779
折旧,-15.380714,-4.631187,-3.784766
销售及分销费用,-308.064893,-179.115292,-129.420248
一般及行政费用,-47.54351,-51.621059,-52.256988
利息费用/融资成本,-14.100867,-7.397767,-0.326872
毛利,431.260307,288.109394,252.403973
经营盈利,55.806908,47.962593,67.136624
应占联营公司盈利,8.271295,6.962074,5.615932
币种,人民币,人民币,人民币
