报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,829.152,743.046,771.168
除税前盈利/(亏损),32.224,49.153,55.802
税项,-8.227,-8.602,-9.12
除税后盈利/(亏损),23.997,40.551,46.682
少数股东权益,1.606,4.27,4.769
股东应占盈利/(亏损),22.391,36.281,41.913
股息,35.247,3.409,
除税及股息后盈利/(亏损),-12.856,32.872,41.913
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-228.601,-201.215,-211.256
折旧,-43.291,-31.518,-31.273
销售及分销费用,-9.616,-10.125,-10.503
一般及行政费用,--,--,--
利息费用/融资成本,--,--,-0.002
毛利,600.551,541.831,559.912
经营盈利,32.224,49.153,55.802
应占联营公司盈利,--,--,--
币种,港币,港币,港币
