报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,821.907,412.222,715.107,317.701,628.732,448.719
除税前盈利/(亏损),31.206,22.64,55.287,25.825,67.442,53.886
税项,-8.319,-5.732,-13.15,-6.359,-13.115,-9.229
除税后盈利/(亏损),22.887,16.908,42.137,19.466,54.327,44.657
少数股东权益,,,,,,
股东应占盈利/(亏损),22.887,16.908,42.137,19.466,54.327,44.657
股息,,,,,,
除税及股息后盈利/(亏损),22.887,16.908,42.137,19.466,54.327,44.657
基本每股盈利(仙),5.170000,4.400000,,5.100000,,
摊薄每股盈利(仙),5.170000,4.400000,--,5.100000,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-707.997,-350.316,-588.573,-260.589,-509.007,-358.777
折旧,-12.182,-7.547,-20.333,-10.864,-22.712,-19.723
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-81.365,-38.714,-70.032,-30.098,-50.867,-34.564
利息费用/融资成本,-1.64,-0.87,-2.358,-1.337,-2.415,-2.292
毛利,113.91,61.906,126.534,57.112,119.725,89.942
经营盈利,32.846,23.51,57.645,27.162,69.857,56.178
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
