报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,593.572,617.846,467.302
除税前盈利/(亏损),57.4,52.866,16.621
税项,-10.063,-8.847,-2.844
除税后盈利/(亏损),47.337,44.019,13.777
少数股东权益,,,
股东应占盈利/(亏损),47.337,44.019,13.777
股息,,,
除税及股息后盈利/(亏损),47.337,44.019,13.777
基本每股盈利(仙),5.260000,4.890000,1.530000
摊薄每股盈利(仙),5.260000,4.890000,1.530000
每股股息(仙),--,--,--
销售成本,-522.078,-553.899,-443.069
折旧,-10.949,-11.954,-9.259
销售及分销费用,--,--,--
一般及行政费用,-14.355,-9.069,-8.182
利息费用/融资成本,-0.691,-0.795,-0.574
毛利,71.494,63.947,24.233
经营盈利,57.4,52.866,16.621
应占联营公司盈利,--,--,--
币种,港币,港币,港币
