报告期,2017-10-31,2017-04-30,2016-10-31,2016-04-30,2015-10-31,2014-10-31,2013-10-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,50.354,21.838,48.69,16.754,41.07,34.329,32.371
除税前盈利/(亏损),2.107,0.728,3.649,1.436,5.362,3.366,3.858
税项,-0.922,-0.461,-1.533,-0.528,-0.162,-0.955,-0.925
除税后盈利/(亏损),1.185,0.267,2.116,0.908,5.2,2.411,2.933
少数股东权益,,,,,,,
股东应占盈利/(亏损),1.185,0.267,2.116,0.908,5.2,2.411,2.933
股息,0.967,,,,,,
除税及股息后盈利/(亏损),0.218,0.267,2.116,0.908,5.2,2.411,2.933
基本每股盈利(仙),0.480000,0.110000,1.130000,0.480000,,,
摊薄每股盈利(仙),0.480000,0.110000,1.130000,0.480000,--,--,--
每股股息(仙),3.000000,--,--,--,--,--,--
销售成本,-37.422,-16.692,-36.062,-12.624,-31.868,-27.317,-25.805
折旧,-0.453,-0.2,-0.399,-0.182,-0.406,-0.459,-0.457
销售及分销费用,-6.503,-1.578,-3.593,-0.839,-1.742,-0.964,-0.518
一般及行政费用,-4.674,-2.717,-5.3,-1.667,-2.299,-1.795,-1.601
利息费用/融资成本,-0.706,-0.304,-0.789,-0.323,-0.791,-0.886,-0.799
毛利,12.932,5.146,12.628,4.13,9.202,7.012,6.566
经营盈利,2.323,1.13,4.283,1.759,6.153,4.252,4.657
应占联营公司盈利,0.49,-0.098,0.155,--,--,--,--
币种,美元,美元,美元,美元,美元,美元,美元
