报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,125.275,80.25,64.104
除税前盈利/(亏损),25.77,22.416,14.032
税项,-5.595,-3.872,-1.912
除税后盈利/(亏损),20.175,18.544,12.12
少数股东权益,-0.077,-0.351,0.069
股东应占盈利/(亏损),20.252,18.895,12.051
股息,,,
除税及股息后盈利/(亏损),20.252,18.895,12.051
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-80.379,-45.034,-40.934
折旧,-0.749,-0.642,-0.68
销售及分销费用,-2.931,-3.38,-2.502
一般及行政费用,-17.714,-9.828,-8.482
利息费用/融资成本,-0.215,-0.094,--
毛利,44.896,35.216,23.17
经营盈利,25.77,22.416,14.032
应占联营公司盈利,--,--,--
币种,港币,港币,港币
