报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,572.864,555.561,401.178,548.679
除税前盈利/(亏损),31.025,44.997,23.696,70.286
税项,-10.947,-11.14,-5.935,-17.65
除税后盈利/(亏损),20.078,33.857,17.761,52.636
少数股东权益,,,,
股东应占盈利/(亏损),20.078,33.857,17.761,52.636
股息,,,,
除税及股息后盈利/(亏损),20.078,33.857,17.761,52.636
基本每股盈利(仙),4.320000,7.280000,3.820000,11.320000
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-438.825,-427.386,-304.058,-407.831
折旧,-26.603,-29.004,-26.285,-21.41
销售及分销费用,-11.604,-11.57,-8.522,-10.435
一般及行政费用,-66.909,-66.584,-55.473,-57.432
利息费用/融资成本,-13.525,-13.32,-13.087,-6.634
毛利,134.039,128.175,97.12,140.848
经营盈利,31.025,44.997,23.696,70.286
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
