报告期,2017-12-31,2016-12-31,2016-06-30,2015-06-30,2014-06-30
报表类型,中报,中报,年报,年报,年报
营业额,4514,4540,10098,11245,12990
除税前盈利/(亏损),180,-257,1028,1563,1691
税项,-71,100,-424,-981,-682
除税后盈利/(亏损),109,-157,604,582,1009
少数股东权益,,,,20,-11
股东应占盈利/(亏损),109,-157,604,562,1020
股息,,,4740,2,2
除税及股息后盈利/(亏损),109,-157,-4136,560,1018
基本每股盈利(仙),21.800000,-41.900000,,,
摊薄每股盈利(仙),21.800000,-41.900000,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,--,--,--,--,--
折旧,-378,-354,-698,-774,-853
销售及分销费用,--,--,--,--,--
一般及行政费用,-247,-705,-1405,-1385,-923
利息费用/融资成本,-82,-113,-249,-277,-321
毛利,4514,4540,10098,11245,12990
经营盈利,252,-146,1252,1779,1931
应占联营公司盈利,--,--,--,--,--
币种,日元,日元,日元,日元,日元
