报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,2840.308,1702.322,1121.206,780.387
除税前盈利/(亏损),58.009,53.817,29.314,14.283
税项,-12.642,-8.982,-4.861,-2.985
除税后盈利/(亏损),45.367,44.835,24.453,11.298
少数股东权益,10.381,5.094,,
股东应占盈利/(亏损),34.986,39.741,24.453,11.298
股息,,,,
除税及股息后盈利/(亏损),34.986,39.741,24.453,11.298
基本每股盈利(仙),4.660000,5.300000,3.260000,1.510000
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-2698.945,-1608.03,-1067.488,-744.459
折旧,-2.42,-1.34,-0.152,-0.186
销售及分销费用,-15.937,-7.84,-3.909,-4.376
一般及行政费用,-60.745,-31.239,-22.576,-19.126
利息费用/融资成本,-11.368,-4.178,-1.729,-1.14
毛利,141.363,94.292,53.718,35.928
经营盈利,58.009,53.817,29.314,14.283
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
