报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,154.775,578.358,121.815,512.192,537.703
除税前盈利/(亏损),2.658,3.906,2.954,16.793,17.141
税项,-1.044,-3.186,-0.722,-2.925,-6.695
除税后盈利/(亏损),1.614,0.72,2.232,13.868,10.446
少数股东权益,,,,,
股东应占盈利/(亏损),1.614,0.72,2.232,13.868,10.446
股息,,,,,
除税及股息后盈利/(亏损),1.614,0.72,2.232,13.868,10.446
基本每股盈利(仙),0.260000,0.160000,0.480000,3.000000,2.260000
摊薄每股盈利(仙),0.260000,0.160000,0.480000,3.000000,2.260000
每股股息(仙),--,--,--,--,--
销售成本,-132.235,-488.478,-102.387,-432.25,-469.539
折旧,--,-10.911,--,-10.083,-9.922
销售及分销费用,-2.784,-11.861,-2.165,-8.494,-12.034
一般及行政费用,-11.603,-55.888,-9.858,-41.394,-31.985
利息费用/融资成本,-1.063,-3.077,-0.34,-1.558,-1.674
毛利,22.54,89.88,19.428,79.942,68.164
经营盈利,3.721,6.983,3.294,18.351,18.815
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
