报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,140.014622,66.386919,143.693086,72.866434,135.88174,134.300831,78.474386
除税前盈利/(亏损),119.866513,56.150243,114.281105,54.185289,100.350868,98.073662,54.889031
税项,-28.900055,-14.128364,-28.762145,-13.680929,-25.096079,-24.604597,-13.762297
除税后盈利/(亏损),90.966458,42.021879,85.51896,40.50436,75.254789,73.469065,41.126734
少数股东权益,,,,,,,
股东应占盈利/(亏损),90.966458,42.021879,85.51896,40.50436,75.254789,73.469065,41.126734
股息,34,,34,,25,30,25.14
除税及股息后盈利/(亏损),56.966458,42.021879,51.51896,40.50436,50.254789,43.469065,15.986734
基本每股盈利(仙),13.000000,6.000000,16.000000,8.000000,15.000000,15.000000,12.000000
摊薄每股盈利(仙),13.000000,6.000000,16.000000,8.000000,15.000000,15.000000,12.000000
每股股息(仙),5.000000,--,5.000000,--,--,--,--
销售成本,-1.077592,--,-6.00287,-3.262457,-5.741867,-8.470664,-10.031163
折旧,-0.844846,-0.505326,-0.9458,-0.4861,-0.726703,-0.271343,-0.394175
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-20.426757,-9.146089,-26.543017,-11.030586,-20.576556,-25.031112,-11.196326
利息费用/融资成本,--,--,--,--,--,--,--
毛利,138.93703,66.386919,137.690216,69.603977,130.139873,125.830167,68.443223
经营盈利,119.866513,56.150243,114.281105,54.185289,100.350868,98.073662,54.889031
应占联营公司盈利,4.965901,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
