报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,452.467,432.886,478.604
除税前盈利/(亏损),40.369,72.428,73.561
税项,-10.097,-18.11,-18.518
除税后盈利/(亏损),30.272,54.318,55.043
少数股东权益,,,
股东应占盈利/(亏损),30.272,54.318,55.043
股息,,,21
除税及股息后盈利/(亏损),30.272,54.318,34.043
基本每股盈利(仙),26.000000,47.000000,48.000000
摊薄每股盈利(仙),26.000000,47.000000,48.000000
每股股息(仙),--,--,--
销售成本,-393.788,-348.398,-386.038
折旧,-23.515,-22.339,-22.221
销售及分销费用,--,--,--
一般及行政费用,-14.99,-12.387,-22.395
利息费用/融资成本,-11.346,-0.388,-0.009
毛利,58.679,84.488,92.566
经营盈利,50.305,72.4,70.391
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
