报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,218.231,485.646,234.889,378.479,188.354,273.56,187.122
除税前盈利/(亏损),20.902,52.022,26.728,37.708,21.257,26.001,19.884
税项,-3.674,-7.597,-4.881,-7.501,-4.094,-4.354,-3.175
除税后盈利/(亏损),17.228,44.425,21.847,30.207,17.163,21.647,16.709
少数股东权益,,,,,,,
股东应占盈利/(亏损),17.228,44.425,21.847,30.207,17.163,21.647,16.709
股息,,,,,,,
除税及股息后盈利/(亏损),17.228,44.425,21.847,30.207,17.163,21.647,16.709
基本每股盈利(仙),2.250000,6.320000,3.350000,4.640000,2.630000,3.320000,2.570000
摊薄每股盈利(仙),2.250000,6.320000,3.350000,4.640000,2.630000,3.320000,2.570000
每股股息(仙),--,--,--,--,--,--,--
销售成本,-184.582,-400.398,-193.92,-310.389,-154.022,-227.301,-155.052
折旧,-6.737,-18.517,-7.636,-15.196,-6.464,-11.56,-10.27
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-15.548,-37.211,-14.931,-32.075,-13.922,-21.567,-13.382
利息费用/融资成本,-0.302,-1.275,-0.784,-1.158,-0.65,-1.695,-1.984
毛利,33.649,85.248,40.969,68.09,34.332,46.259,32.07
经营盈利,21.204,53.297,27.512,38.866,21.907,27.696,21.868
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
