报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,536.46,243.219,490.933,226.545,258.196,249.013,238.77
除税前盈利/(亏损),159.918,86.541,174.098,47.928,91.984,100.698,110.748
税项,-45.031,-19.632,-37.137,-16.904,-24.789,-26.383,-28.038
除税后盈利/(亏损),114.887,66.909,136.961,31.024,67.195,74.315,82.71
少数股东权益,41.394,18.971,38.326,16.583,26.292,27.61,29.144
股东应占盈利/(亏损),73.493,47.938,98.635,14.441,40.903,46.705,53.566
股息,19.606,,,,92.036,58.403,52.059
除税及股息后盈利/(亏损),53.887,47.938,98.635,14.441,-51.133,-11.698,1.507
基本每股盈利(仙),16.000000,10.000000,35.000000,5.000000,49.000000,56.000000,64.000000
摊薄每股盈利(仙),12.000000,7.000000,11.000000,5.000000,49.000000,56.000000,64.000000
每股股息(仙),5.000000,--,--,--,--,--,--
销售成本,-278.177,-124.494,-247.921,-115.874,-117.686,-105.118,-88.981
折旧,--,-9.225,-15.413,-10.636,-3.83,-2.299,-1.806
销售及分销费用,-21.032,-10.235,-19.003,-9.304,-10.612,-11.278,-7.272
一般及行政费用,-79.48,-32.97,-102.318,-40.769,-38.312,-34.702,-32.883
利息费用/融资成本,-19.547,-5.819,-1.584,-0.861,-0.043,--,--
毛利,258.283,118.725,243.012,110.671,140.51,143.895,149.789
经营盈利,172.95,90.097,175.024,48.628,91.711,98.051,109.661
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
