报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
非流动资产,318.683,190.185,5.078
流动资产,2335.387,1678.083,126.527
流动负债,868.131,861.742,21.851
净流动资产/(负债),1467.256,816.341,104.676
非流动负债,3375.103,2355.958,171.245
少数股东权益 - (借)/贷,0.366,,
净资产/(负债),-1589.164,-1349.432,-61.491
已发行股本,,,
储备,-1589.53,-1349.432,-61.491
股东权益/(亏损),-1589.53,-1349.432,-61.491
无形资产(非流动资产),62.562,3.113,0.226
物业、厂房及设备(非流动资产),33.865,14.901,0.139
附属公司权益(非流动资产),--,--,--
联营公司权益 (非流动资产),0.128,3.259,
其他投资(非流动资产),,,
应收账款(流动资产),42.861,40.078,3.102
存货(流动资产),0.107,--,--
现金及银行结存(流动资产),2182.777,1410.88,17.634
应付帐款(流动负债),625.897,622.798,9.98
银行贷款(流动负债),--,--,--
非流动银行贷款,--,--,--
总资产,2654.07,1868.268,131.605
总负债,4243.234,3217.7,193.096
股份数目(香港),--,--,--
币种,人民币,人民币,人民币
