报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,41177.335,38609.402,27215.65,24859.136
除税前盈利/(亏损),1564.855,1307.951,711.975,471.93
税项,-497.449,-257.22,-168.926,-112.528
除税后盈利/(亏损),1094.128,813.603,410.233,351.311
少数股东权益,41.882,45.425,3.956,-7.175
股东应占盈利/(亏损),1052.246,768.178,406.277,358.486
股息,,14.85,176,304
除税及股息后盈利/(亏损),1052.246,753.328,230.277,54.486
基本每股盈利(仙),80.000000,64.000000,34.000000,46.000000
摊薄每股盈利(仙),--,64.000000,34.000000,46.000000
每股股息(仙),--,--,--,--
销售成本,-38946.373,-36726.588,-26199.569,-24115.444
折旧,-39.833,-45.844,-50.788,-45.236
销售及分销费用,-39.3,-65.955,-13.238,-20.135
一般及行政费用,-423.257,-325.698,-252.293,-238.489
利息费用/融资成本,-182.537,-230.343,-186.476,-121.92
毛利,2230.962,1882.814,1016.081,743.692
经营盈利,1564.855,1307.951,711.975,471.93
应占联营公司盈利,-3.559,58.264,19.242,-6.366
币种,人民币,人民币,人民币,人民币
