报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,186.295,161.167,117.023,122.849
除税前盈利/(亏损),6.509,18.024,11.434,10.262
税项,-2.779,-3.037,-1.909,-1.541
除税后盈利/(亏损),3.73,14.987,9.525,8.721
少数股东权益,,,,
股东应占盈利/(亏损),3.73,14.987,9.525,8.721
股息,,,,
除税及股息后盈利/(亏损),3.73,14.987,9.525,8.721
基本每股盈利(仙),0.410000,,1.060000,
摊薄每股盈利(仙),0.410000,--,1.060000,--
每股股息(仙),--,--,--,--
销售成本,-157.096,-135.342,-100.046,-106.169
折旧,-0.634,-0.872,-0.447,-0.671
销售及分销费用,--,--,--,--
一般及行政费用,-12.287,-8.736,-5.856,-8.028
利息费用/融资成本,-0.065,-0.149,-0.099,-0.232
毛利,29.199,25.825,16.977,16.68
经营盈利,6.509,18.024,11.434,10.262
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
