报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
利息收入,15393.748,12785.988,10155.663
利息支出,-7912.645,-4959.812,-3914.617
净利息收入,7481.103,7826.176,6241.046
其他经营收入,590.509,257.618,54.024
经营收入,9452.269,8984.437,6892.312
经营支出,-3147.384,-2957.626,-2399.104
总准备,-2575.802,-3614.493,-3515.904
其他盈利/(亏损),0,0,0
除税前盈利/(亏损),3741.109,2413.44,965.589
税项,-826.285,-735.569,-192.772
除税后盈利/(亏损),2914.824,1677.871,772.817
少数股东权益,49.598,40.522,0.246
股东应占盈利/(亏损),2865.226,1637.349,772.571
股息,467.88,467.88,233.94
除税及股息后盈利/(亏损),2397.346,1169.469,538.631
基本每股营利(仙),61.000000,35.000000,27.000000
摊薄每股盈利(仙),61.000000,35.000000,27.000000
币种,人民币,人民币,人民币
