报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,1389.169,635.302,1240.39,588.253,1063.702,985.108,858.874
除税前盈利/(亏损),218.076,101.979,198.473,89.446,148.818,135.212,124.742
税项,-56.937,-27.904,-52.786,-24.284,-29.854,-27.445,-15.629
除税后盈利/(亏损),161.139,74.075,145.687,65.162,118.964,107.767,109.113
少数股东权益,4.547,2.032,4.427,1.251,0.117,5.53,1.804
股东应占盈利/(亏损),156.592,72.043,141.26,63.911,118.847,102.237,107.309
股息,53.503,,46.783,,,,
除税及股息后盈利/(亏损),103.089,72.043,94.477,63.911,118.847,102.237,107.309
基本每股盈利(仙),46.800000,21.500000,53.800000,25.600000,47.500000,40.900000,42.900000
摊薄每股盈利(仙),--,--,53.800000,--,--,--,--
每股股息(仙),16.000000,--,14.000000,--,--,--,--
销售成本,-1058.293,-474.643,-943.479,-452.584,-824.29,-761.424,-669.778
折旧,-49.6,-22.217,-41.488,-20.498,-38.952,-37.646,-39.988
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-126.994,-58.35,-109.042,-49.615,-83.657,-79.855,-74.365
利息费用/融资成本,--,--,-7.449,-5.952,-67.153,-76.895,-54.126
毛利,330.876,160.659,296.911,135.669,239.412,223.684,189.096
经营盈利,218.076,101.979,198.473,89.446,148.818,135.212,124.742
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
