报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,1653.998,2332.29,1310.405,1902.642,1070.753,1613.093,1383.435
除税前盈利/(亏损),433.014,468.46,323.884,341.906,261.565,282.358,210.608
税项,-121.124,-136.888,-95.952,-102.57,-77.718,-85.406,-60.692
除税后盈利/(亏损),311.89,331.572,227.932,239.336,183.847,196.952,149.916
少数股东权益,,,,,,0.133,0.452
股东应占盈利/(亏损),311.89,331.572,227.932,239.336,183.847,196.819,149.464
股息,102.69,248.68,,463.771,,10.307,
除税及股息后盈利/(亏损),209.2,82.892,227.932,-224.435,183.847,186.512,149.464
基本每股盈利(仙),61.000000,71.000000,54.000000,,47.000000,,
摊薄每股盈利(仙),60.000000,70.000000,52.000000,--,47.000000,--,--
每股股息(仙),20.000000,47.940000,--,--,--,--,--
销售成本,-618.646,-857.682,-466.93,-712.183,-400.801,-622.542,-580.459
折旧,-18.506,-32.03,-14.487,-29.102,-14.207,-28.345,-25.74
销售及分销费用,-520.356,-859.115,-445.056,-712.381,-346.585,-581.609,-501.352
一般及行政费用,-110.688,-197.606,-96.604,-157.409,-66.183,-131.204,-102.705
利息费用/融资成本,--,-1.016,-1.016,-2.535,-2.518,-16.413,-16.878
毛利,1035.352,1474.608,843.475,1190.459,669.952,990.551,802.976
经营盈利,426.929,459.636,321.671,343.004,263.506,296.365,226.69
应占联营公司盈利,-0.185,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
