报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
报表类型,一季报,年报,一季报,年报,年报,年报
营业额,1177.321,4639.274,999.694,2648.097,1803.796,1504.434
除税前盈利/(亏损),195.073,878.528,212.241,664.517,523.996,437.943
税项,-48.328,-194.373,-59.537,-124.099,-99.584,-75.948
除税后盈利/(亏损),146.745,684.155,152.704,540.418,424.412,361.995
少数股东权益,44.88,148.502,32.587,85.492,64.022,71.287
股东应占盈利/(亏损),101.865,535.653,120.117,454.926,360.39,290.708
股息,,,,110.99,,
除税及股息后盈利/(亏损),101.865,535.653,120.117,343.936,360.39,290.708
基本每股盈利(仙),3.910000,21.510000,5.320000,20.160000,16.860000,15.840000
摊薄每股盈利(仙),3.910000,21.510000,5.320000,20.160000,16.860000,15.810000
每股股息(仙),--,--,--,1.000000,--,--
销售成本,-804.74,-3252.937,-644.372,-1835.801,-1091.666,-918.812
折旧,-6.438,-22.235,-5.35,-13.368,-11.162,-10.578
销售及分销费用,-18.782,-73.087,-16.533,-39.114,-15.908,-15.116
一般及行政费用,-109.969,-336.158,-75.499,-268.907,-185.591,-177.493
利息费用/融资成本,-129.941,-511.051,-128.502,-234.611,-169.853,-151.295
毛利,372.581,1386.337,355.322,812.296,712.13,585.622
经营盈利,195.073,878.528,212.241,664.517,523.996,437.943
应占联营公司盈利,-0.684,-2.298,-0.926,10.579,22.038,7.655
币种,人民币,人民币,人民币,人民币,人民币,人民币
