报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
营业额,326.91,770.159,344.156,599.354,483.33,199.813
除税前盈利/(亏损),33.094,84.089,41.548,55.104,35.668,10.84
税项,-5.294,-16.518,-7.747,-8.949,-5.936,-2.096
除税后盈利/(亏损),27.8,67.571,33.801,46.155,29.732,8.744
少数股东权益,,,,,,
股东应占盈利/(亏损),27.8,67.571,33.801,46.155,29.732,8.744
股息,,,,,,
除税及股息后盈利/(亏损),27.8,67.571,33.801,46.155,29.732,8.744
基本每股盈利(仙),1.990000,5.430000,2.710000,,,
摊薄每股盈利(仙),--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-275.9,-662.461,-289.509,-529.265,-439.148,-182.777
折旧,-1.635,-1.761,-0.484,-0.18,-0.003,-0.003
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-17.847,-24.55,-13.286,-15.635,-8.032,-6.047
利息费用/融资成本,-0.419,-0.291,-0.068,-0.221,-0.135,-0.165
毛利,51.01,107.698,54.647,70.089,44.182,17.036
经营盈利,33.094,84.089,41.548,55.104,35.668,10.84
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
