报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,1329.078,1352.955,1351.416,1238.759
除税前盈利/(亏损),5.226,193.457,174.951,129.716
税项,-42.255,-41.416,-36.781,-25.751
除税后盈利/(亏损),-37.029,152.041,138.17,103.965
少数股东权益,-0.611,,0.585,0.325
股东应占盈利/(亏损),-36.418,152.041,137.585,103.64
股息,,85.153,,
除税及股息后盈利/(亏损),-36.418,66.888,137.585,103.64
基本每股盈利(仙),-8.000000,25.000000,23.000000,17.000000
摊薄每股盈利(仙),-8.000000,25.000000,--,--
每股股息(仙),--,--,--,--
销售成本,-1031.836,-1099.309,-1105.66,-1038.654
折旧,-7.088,-3.743,-4.207,-5.908
销售及分销费用,-18.318,-15.859,-11.376,-8.266
一般及行政费用,-88.892,-72.376,-62.889,-58.276
利息费用/融资成本,-5.333,-6.043,-7.087,-8.81
毛利,297.242,253.646,245.756,200.105
经营盈利,5.226,193.457,174.951,129.716
应占联营公司盈利,31.694,14.833,16.042,11.34
币种,人民币,人民币,人民币,人民币
