报告期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31
报表类型,三季报,中报,一季报,年报,三季报,中报,一季报,年报
营业额,19.344,6.175,2.817,55.122,14.438,8.838,3.272,18.212
除税前盈利/(亏损),-5.81,-0.016,-2.481,-19.106,-11.146,-8.039,-5.033,-26.869
税项,-0.441,0.25,0.16,0.627,0.621,0.549,0.273,2.938
除税后盈利/(亏损),-6.251,0.234,-2.321,-18.479,-10.525,-7.49,-4.76,-23.931
少数股东权益,1.466,3.971,0.109,-0.657,-0.339,-0.223,-0.173,0.835
股东应占盈利/(亏损),-7.717,-3.737,-2.43,-17.822,-10.186,-7.267,-4.587,-24.766
股息,,,,,,,,
除税及股息后盈利/(亏损),-7.717,-3.737,-2.43,-17.822,-10.186,-7.267,-4.587,-24.766
基本每股盈利(仙),-0.330000,-0.160000,-0.100000,-0.770000,-0.440000,-0.320000,-0.210000,-1.510000
摊薄每股盈利(仙),-0.330000,-0.160000,-0.100000,-0.770000,-0.440000,-0.320000,-0.210000,-1.510000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-20.652,-4.795,-2.491,-50,-13.24,-7.789,-2.965,-10.561
折旧,-2.041,-1.228,-0.163,-0.374,-0.282,-0.191,-0.095,-0.461
销售及分销费用,-0.295,-0.021,-0.02,-0.054,-0.006,-0.003,-0.002,-0.411
一般及行政费用,-9.325,-5.991,-2.819,-15.114,-9.384,-6.534,-3.726,-20.776
利息费用/融资成本,-1.639,-1.083,-0.531,-3.939,-3.102,-2.599,-1.657,-10.287
毛利,-1.308,1.38,0.326,5.122,1.198,1.049,0.307,7.651
经营盈利,-5.81,-0.016,-2.481,-19.106,-11.146,-8.039,-5.033,-26.866
应占联营公司盈利,--,--,--,--,--,--,--,-0.003
币种,港币,港币,港币,港币,港币,港币,港币,港币
