报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,276.499,114.059,176.882,66.322,107.574,57.698,39.869
除税前盈利/(亏损),221.286,91.161,133.597,45.736,89.064,48.558,32.255
税项,-60.65,-26.9,-40.165,-14.305,-26.67,-12.139,-8.064
除税后盈利/(亏损),160.636,64.261,93.432,31.431,62.394,36.419,24.191
少数股东权益,,,3.516,3.516,15.54,10.518,7.756
股东应占盈利/(亏损),160.636,64.261,89.916,27.915,46.854,25.901,16.435
股息,26.7488,,71.208,,,,
除税及股息后盈利/(亏损),133.8872,64.261,18.708,27.915,46.854,25.901,16.435
基本每股盈利(仙),10.040000,4.020000,7.670000,2.730000,7.930000,6.700000,4.250000
摊薄每股盈利(仙),10.020000,4.020000,--,--,--,--,--
每股股息(仙),2.000000,--,4.500000,--,--,--,--
销售成本,--,--,--,--,--,--,--
折旧,-1.221,-0.47,-0.794,-0.398,-0.823,-0.817,-0.508
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-33.171,-15.836,-15.856,-3.854,-4.991,-3.796,-3.663
利息费用/融资成本,-0.022,--,-0.03,--,--,--,--
毛利,274.606,113.205,174.028,64.316,101.475,54.336,37.544
经营盈利,221.286,91.161,133.597,45.736,89.064,48.558,32.255
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
