报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,3941.596,4334.859,28.702
除税前盈利/(亏损),-151.214,-1362.548,-48.961
税项,-88.295,-104.578,-0.455
除税后盈利/(亏损),-239.509,-1467.126,-49.416
少数股东权益,-0.097,,
股东应占盈利/(亏损),-239.412,-1467.126,-49.416
股息,,,
除税及股息后盈利/(亏损),-239.412,-1467.126,-49.416
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-2545.854,-2697.865,-14.859
折旧,-9.463,-0.63,-0.009
销售及分销费用,-344.154,-721.778,-10.009
一般及行政费用,-95.963,-227.314,-1.793
利息费用/融资成本,-0.847,-0.633,--
毛利,1395.742,1636.994,13.843
经营盈利,871.182,493.901,1.903
应占联营公司盈利,-2.157,-2.941,--
币种,人民币,人民币,人民币
