报告期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
报表类型,一季报,年报,三季报,一季报,年报,三季报,年报
营业额,91.566,356.441,265.329,90.262,344.464,256.384,303.632
除税前盈利/(亏损),1.301,0.571,-1.597,1.659,15.974,8.538,2.942
税项,-0.32,-2.731,-2.107,-0.411,-2.674,-1.396,-0.847
除税后盈利/(亏损),0.981,-2.16,-3.704,1.248,13.3,7.142,2.095
少数股东权益,,,,,,,
股东应占盈利/(亏损),0.981,-2.16,-3.704,1.248,13.3,7.142,2.095
股息,,,,,,,
除税及股息后盈利/(亏损),0.981,-2.16,-3.704,1.248,13.3,7.142,2.095
基本每股盈利(仙),0.120000,-0.340000,-0.600000,0.210000,,1.200000,
摊薄每股盈利(仙),0.120000,-0.340000,-0.600000,0.210000,--,1.200000,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,--,--,--,--,--,--,--
折旧,-0.416,-2.164,-1.398,-0.583,-1.874,-1.377,-1.49
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,--,--,--,--,--,--,--
利息费用/融资成本,-0.301,-1.44,-1.386,-0.24,-1.075,-1.179,-2.173
毛利,91.566,356.441,265.329,90.262,344.464,256.384,303.632
经营盈利,1.602,2.007,-0.212,1.898,17.044,9.714,4.787
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
