报告期,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报
营业额,464.882,543.424,446.244
除税前盈利/(亏损),82.918,113.139,84.275
税项,-14.917,-16.064,-11.322
除税后盈利/(亏损),68.001,97.075,72.953
少数股东权益,,,
股东应占盈利/(亏损),68.001,97.075,72.953
股息,,,
除税及股息后盈利/(亏损),68.001,97.075,72.953
基本每股盈利(仙),7.080000,10.110000,7.600000
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-367.647,-413.016,-338.743
折旧,-2.412,-2.261,-0.681
销售及分销费用,--,--,--
一般及行政费用,-14.596,-16.938,-23.254
利息费用/融资成本,--,--,--
毛利,97.235,130.408,107.501
经营盈利,82.918,113.139,84.275
应占联营公司盈利,--,--,--
币种,澳门元,澳门元,澳门元
