报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,520.363,1740.695,408.482,1116.568,626.298
除税前盈利/(亏损),18.128,21.871,5.726,28.545,10.64
税项,-6.6,-10.064,-2.385,-9.63,-3.3
除税后盈利/(亏损),11.528,11.807,3.341,18.915,7.34
少数股东权益,,,,,
股东应占盈利/(亏损),11.528,11.807,3.341,18.915,7.34
股息,,,,,
除税及股息后盈利/(亏损),11.528,11.807,3.341,18.915,7.34
基本每股盈利(仙),2.900000,3.900000,1.300000,,
摊薄每股盈利(仙),2.900000,3.900000,1.300000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-494.041,-1681.247,-393.886,-1062.532,-603.7
折旧,--,-0.419,--,-0.399,-0.349
销售及分销费用,-5.056,-23.617,-6.111,-21.154,-11.153
一般及行政费用,-2.523,-14.444,-2.811,-4.295,-0.847
利息费用/融资成本,--,--,--,--,--
毛利,26.322,59.448,14.596,54.036,22.598
经营盈利,18.06,21.703,5.693,28.499,10.594
应占联营公司盈利,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
