报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,44.455,166.082,49.85,134.366,128.592
除税前盈利/(亏损),-0.772,8.03,2.836,17.935,17.855
税项,-0.791,-2.819,-1.24,-2.53,-2.171
除税后盈利/(亏损),-1.563,5.211,1.596,15.405,15.684
少数股东权益,,,,,
股东应占盈利/(亏损),-1.563,5.211,1.596,15.405,15.684
股息,,,,27,
除税及股息后盈利/(亏损),-1.563,5.211,1.596,-11.595,15.684
基本每股盈利(仙),-0.320000,1.230000,0.400000,4.760000,4.860000
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-34.547,-133.513,-38.624,-109.733,-105.855
折旧,-0.016,-0.051,-0.012,-0.031,-0.029
销售及分销费用,--,--,--,--,--
一般及行政费用,-3.374,-13.567,-3.788,-7.315,-7.427
利息费用/融资成本,-0.259,-0.197,-0.004,-0.114,-0.379
毛利,9.908,32.569,11.226,24.633,22.737
经营盈利,-0.772,8.03,2.836,17.935,17.855
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
