报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
营业额,57.551,317.515,197.734,443.398,116.674,259.467,42.916,83.927
除税前盈利/(亏损),40.284,234.084,36.347,520.223,496.318,317.267,29.25,166.091
税项,-3.701,-8.234,-1.811,-2.022,-1.38,-1.85,-0.714,-1.435
除税后盈利/(亏损),36.583,225.85,34.536,518.201,494.938,315.417,28.536,164.656
少数股东权益,-0.002,-0.017,-0.003,-0.108,-0.03,0.01,-0.048,-0.254
股东应占盈利/(亏损),36.585,225.867,34.539,518.309,494.968,315.407,28.584,164.91
股息,,48.282,,40.235,,53.646,,48.282
除税及股息后盈利/(亏损),36.585,177.585,34.539,478.074,494.968,261.761,28.584,116.628
基本每股盈利(仙),1.360000,8.400000,1.290000,38.700000,36.910000,23.500000,2.130000,12.300000
摊薄每股盈利(仙),1.360000,8.400000,1.290000,38.700000,36.910000,23.500000,--,--
每股股息(仙),--,1.800000,--,3.000000,--,4.000000,--,3.600000
销售成本,-1.832,-197.072,-144.789,-346.741,-69.017,-182.313,-10.687,-22.387
折旧,-0.111,-0.252,-0.135,-0.307,-0.139,-0.341,-0.164,-0.474
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-12.738,-30.345,-14.678,-27.53,-13.906,-23.495,-11.246,-24.061
利息费用/融资成本,-0.232,-0.16,-0.062,-0.918,-0.496,-1.587,-0.807,-1.108
毛利,55.719,120.443,52.945,96.657,47.657,77.154,32.229,61.54
经营盈利,40.284,234.084,36.347,520.223,496.318,317.267,29.25,166.091
应占联营公司盈利,-2.921,-4.662,-1.987,-4.879,-2.421,-4.285,-1.706,-4.386
币种,港币,港币,港币,港币,港币,港币,港币,港币
