报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,1862.176,1638.374,1561.291,1324.649
除税前盈利/(亏损),93.497,117.644,133.49,127.454
税项,-28.131,-27.658,-24.348,-26.807
除税后盈利/(亏损),65.366,89.986,109.142,100.647
少数股东权益,6.014,0.786,2.583,4.409
股东应占盈利/(亏损),59.352,89.2,106.559,96.238
股息,17.84,,,
除税及股息后盈利/(亏损),41.512,89.2,106.559,96.238
基本每股盈利(仙),9.400000,,,
摊薄每股盈利(仙),9.400000,--,--,--
每股股息(仙),2.230000,--,--,--
销售成本,-995.692,-820.584,-777.132,-679.97
折旧,-32.846,-22.41,-17.074,-12.221
销售及分销费用,-688.491,-648.808,-612.224,-493.952
一般及行政费用,-89.814,-64.443,-53.859,-39.274
利息费用/融资成本,-0.255,--,--,--
毛利,866.484,817.79,784.159,644.679
经营盈利,93.497,117.644,133.49,127.454
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
