报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,46.958,67.443,43.412,42.126
除税前盈利/(亏损),3.132,20.855,14.195,7.741
税项,-1.94,-4.428,-2.723,-1.267
除税后盈利/(亏损),1.192,16.427,11.472,6.474
少数股东权益,,,,
股东应占盈利/(亏损),1.192,16.427,11.472,6.474
股息,,,,
除税及股息后盈利/(亏损),1.192,16.427,11.472,6.474
基本每股盈利(仙),0.120000,,1.150000,
摊薄每股盈利(仙),0.120000,--,1.150000,--
每股股息(仙),--,--,--,--
销售成本,-22.753,-28.56,-17.23,-18.935
折旧,-0.274,-0.3,-0.248,-0.889
销售及分销费用,--,--,--,--
一般及行政费用,-13.508,-15.711,-10.267,-15.72
利息费用/融资成本,-0.147,--,--,--
毛利,24.205,38.883,26.182,23.191
经营盈利,3.132,20.855,14.195,7.741
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
