报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,207.973,484.479,211.737,409.349,179.998,366.729,159.693
除税前盈利/(亏损),15.186,31.771,16.611,45.006,20.603,42.963,34.67
税项,-2.876,-7.841,-4.223,-8.258,-5.993,-7.1,-5.429
除税后盈利/(亏损),12.31,23.93,12.388,36.748,14.61,35.863,29.241
少数股东权益,,,,,,,
股东应占盈利/(亏损),12.31,23.93,12.388,36.748,14.61,35.863,29.241
股息,,,,,,,
除税及股息后盈利/(亏损),12.31,23.93,12.388,36.748,14.61,35.863,29.241
基本每股盈利(仙),1.190000,2.690000,,,,,
摊薄每股盈利(仙),1.190000,2.690000,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-181.147,-416.736,-181.924,-342.995,-153.03,-314.539,-122.884
折旧,-40.635,-73.241,-34.254,-61.715,-29.928,-48.4,-17.423
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-10.489,-34.763,-12.069,-16.878,-3.35,-6.817,-3.258
利息费用/融资成本,-3.408,-7.163,-3.545,-7.571,-3.923,-5.384,-1.632
毛利,26.826,67.743,29.813,66.354,26.968,52.19,36.809
经营盈利,15.186,31.771,16.611,45.006,20.603,42.963,34.67
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
