报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,8.082,71.399,4.833,46.016,110.839
除税前盈利/(亏损),-1.334,25.192,7.115,45.209,56.867
税项,-0.036,-2.727,-0.092,-2.335,-3.567
除税后盈利/(亏损),-1.37,22.465,7.023,42.874,53.3
少数股东权益,,,,,
股东应占盈利/(亏损),-1.37,22.465,7.023,42.874,53.3
股息,,,,,
除税及股息后盈利/(亏损),-1.37,22.465,7.023,42.874,53.3
基本每股盈利(仙),-0.140000,3.000000,0.700000,5.700000,7.100000
摊薄每股盈利(仙),-0.140000,--,0.700000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-5.726,-44.867,-2.368,-24.615,-73.779
折旧,-0.029,-0.088,-0.011,--,--
销售及分销费用,-1.74,-6.068,-1.124,-3.99,-10.037
一般及行政费用,-1.413,-4.221,-0.785,-4.719,-3.989
利息费用/融资成本,-0.061,-0.397,-0.073,-0.539,-0.887
毛利,2.356,26.532,2.465,21.401,37.06
经营盈利,-1.334,25.192,7.115,45.209,56.867
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
