报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,527.935,501.286,456.053
除税前盈利/(亏损),38.499,40.334,44.182
税项,-11.209,-10.45,-11.683
除税后盈利/(亏损),27.29,29.884,32.499
少数股东权益,0.071,0.117,0.341
股东应占盈利/(亏损),27.219,29.767,32.158
股息,,,
除税及股息后盈利/(亏损),27.219,29.767,32.158
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-442.727,-424.714,-383.096
折旧,-0.388,-0.448,-0.466
销售及分销费用,-20.894,-18.188,-15.635
一般及行政费用,-25.47,-17.549,-12.653
利息费用/融资成本,-2.102,-1.764,-1.872
毛利,85.208,76.572,72.957
经营盈利,38.499,40.334,44.182
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
