报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,21.798,93.941,16.126,90.955,85.676
除税前盈利/(亏损),0.625,-0.192,-1.584,11.293,8.288
税项,-0.145,-2.155,-0.281,-2.149,-1.609
除税后盈利/(亏损),0.48,-2.347,-1.865,9.144,5.678
少数股东权益,,,,,-0.251
股东应占盈利/(亏损),0.48,-2.347,-1.865,9.144,5.929
股息,,,,,
除税及股息后盈利/(亏损),0.48,-2.347,-1.865,9.144,5.929
基本每股盈利(仙),0.100000,-0.640000,-0.520000,,
摊薄每股盈利(仙),0.100000,-0.640000,-0.520000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-10.623,-44.433,-6.545,-42.907,-43.456
折旧,-0.424,-0.963,-0.393,-0.846,-1.207
销售及分销费用,--,--,--,--,--
一般及行政费用,--,--,--,--,--
利息费用/融资成本,--,--,--,--,--
毛利,11.175,49.508,9.581,48.048,42.22
经营盈利,0.625,-0.192,-1.584,11.293,8.288
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
