报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,3905.509,1487.897,271.275,47.99
除税前盈利/(亏损),-18270.224,-1345.995,2.968,-0.829
税项,-66.33,-58.343,-31.174,0.894
除税后盈利/(亏损),-18336.554,-1404.338,-28.206,0.065
少数股东权益,-5.684,-3.005,,
股东应占盈利/(亏损),-18330.87,-1401.333,-28.206,0.065
股息,,,,
除税及股息后盈利/(亏损),-18330.87,-1401.333,-28.206,0.065
基本每股盈利(仙),-1137.000000,,,
摊薄每股盈利(仙),-1137.000000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-1715.596,-752.888,-39.998,-6.976
折旧,-147.657,-12.436,-0.917,-0.217
销售及分销费用,-1171.112,-360.098,-150.699,-27.723
一般及行政费用,-1428.069,-225.33,-20.558,-5.31
利息费用/融资成本,-17.353,-29.25,-12.21,--
毛利,2189.913,735.009,231.277,41.014
经营盈利,-604.586,95.641,63.347,-1.616
应占联营公司盈利,0.118,--,--,--
币种,人民币,人民币,人民币,人民币
