报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31
报表类型,中报,年报,中报,年报,年报
营业额,271.427,380.657,180.403,349.021,238.778
除税前盈利/(亏损),9.874,29.544,14.341,25.499,14.602
税项,-3.972,-6.161,-2.971,-4.194,-2.783
除税后盈利/(亏损),5.902,23.383,11.37,21.305,11.819
少数股东权益,,,,,
股东应占盈利/(亏损),5.902,23.383,11.37,21.305,11.819
股息,,,,,
除税及股息后盈利/(亏损),5.902,23.383,11.37,21.305,11.819
基本每股盈利(仙),0.900000,3.500000,1.700000,3.200000,1.800000
摊薄每股盈利(仙),0.900000,3.500000,1.700000,3.200000,1.800000
每股股息(仙),--,--,--,--,--
销售成本,-241.71,-334.315,-161.594,-313.253,-214.116
折旧,-4.537,-8.814,-4.241,-8.189,-6.375
销售及分销费用,--,--,--,--,--
一般及行政费用,-20.368,-17.655,-5.671,-10.528,-10.088
利息费用/融资成本,-0.296,-0.847,-0.479,-0.879,-0.751
毛利,29.717,46.342,18.809,35.768,24.662
经营盈利,9.874,29.544,14.341,25.499,14.602
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
