报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,274.4,112.235,287.677,107.576,220.711,117.753,59.34
除税前盈利/(亏损),18.797,10.472,36.18,11.648,47.157,49.671,17.244
税项,-0.712,0.091,-5.944,-1.696,-5.792,-6.346,-2.362
除税后盈利/(亏损),18.085,10.563,30.236,9.952,41.365,43.325,14.882
少数股东权益,,,,,,,
股东应占盈利/(亏损),18.085,10.563,30.236,9.952,41.365,43.325,14.882
股息,,,,,,10.3,
除税及股息后盈利/(亏损),18.085,10.563,30.236,9.952,41.365,33.025,14.882
基本每股盈利(仙),4.600000,2.800000,10.100000,3.300000,,,
摊薄每股盈利(仙),--,--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-216.894,-78.38,-213.75,-78.092,-160.479,-59.718,-35.193
折旧,-1.288,-0.241,-0.479,-0.239,-0.465,-0.274,-0.222
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-33.33,-19.139,-22.497,-10.18,-14.326,-9.992,-6.124
利息费用/融资成本,-3.107,-1.38,-2.265,-1.043,-1.785,-0.73,-0.327
毛利,57.506,33.855,73.927,29.484,60.232,58.035,24.147
经营盈利,18.797,10.472,36.18,11.648,47.157,49.671,17.244
应占联营公司盈利,--,--,--,--,--,--,--
币种,澳门元,澳门元,澳门元,澳门元,澳门元,澳门元,澳门元
