报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,245.432,176.039,173.709,206.945
除税前盈利/(亏损),9.839,28.227,23.128,18.036
税项,-3.777,-2.248,-2.104,-1.913
除税后盈利/(亏损),6.062,25.979,21.024,16.123
少数股东权益,,,,
股东应占盈利/(亏损),6.062,25.979,21.024,16.123
股息,,8.9,5,1.5
除税及股息后盈利/(亏损),6.062,17.079,16.024,14.623
基本每股盈利(仙),0.780000,,,
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-206.984,-141.929,-145.653,-186.198
折旧,-2.983,-2.4,-1.703,-0.844
销售及分销费用,--,--,--,--
一般及行政费用,-12.575,-5.867,-4.809,-2.549
利息费用/融资成本,-0.151,-0.199,-0.326,-0.316
毛利,38.448,34.11,28.056,20.747
经营盈利,9.839,28.227,23.128,18.036
应占联营公司盈利,--,--,--,--
币种,澳门元,澳门元,澳门元,澳门元
