报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,170.688,86.551,177.286,89.552,179.441,170.149,153.253
除税前盈利/(亏损),18.915,12.173,17.387,16.766,32.784,50.737,18.684
税项,-2.509,-1.18,-4.956,-2.577,-5.529,-6.194,-3.55
除税后盈利/(亏损),16.406,10.993,12.409,14.167,27.255,44.543,15.134
少数股东权益,-0.012,,,,,1.252,0.695
股东应占盈利/(亏损),16.418,10.993,12.409,14.167,27.255,43.291,14.439
股息,30.337,22.752,25.561,,55.089,21.328,0.104
除税及股息后盈利/(亏损),-13.919,-11.759,-13.152,14.167,-27.834,21.963,14.335
基本每股盈利(仙),1.800000,1.220000,1.800000,2.190000,,,
摊薄每股盈利(仙),1.800000,1.220000,1.800000,2.190000,--,--,--
每股股息(仙),3.360000,2.520000,--,--,--,--,--
销售成本,--,--,--,--,--,--,--
折旧,-8.193,-3.929,-8.414,-4.207,-8.728,-8.678,-11.218
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,--,--,--,--,--,--,--
利息费用/融资成本,-2.901,-1.693,-3.864,-1.932,-4.82,-5.705,-5.892
毛利,170.688,86.551,177.286,89.552,179.441,170.149,153.253
经营盈利,18.915,12.173,17.387,16.766,32.784,50.737,18.684
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
