报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,131.851,500.388,364.046,235.102,116.211,478.137,360.861,238.953
除税前盈利/(亏损),8.887,42.743,29.639,19.82,10.722,16.567,10.197,6.666
税项,-1.574,-5.958,-4.51,-3.006,-1.655,-4.348,-2.856,-1.74
除税后盈利/(亏损),7.313,36.785,25.129,16.814,9.067,12.219,7.341,4.926
少数股东权益,0.088,0.624,0.317,0.289,0.157,0.832,0.534,0.43
股东应占盈利/(亏损),7.225,36.161,24.812,16.525,8.91,11.387,6.807,4.496
股息,,14.954,,,,11.215,,
除税及股息后盈利/(亏损),7.225,21.207,24.812,16.525,8.91,0.172,6.807,4.496
基本每股盈利(仙),3.870000,19.350000,13.270000,8.840000,4.770000,6.090000,3.640000,2.410000
摊薄每股盈利(仙),3.870000,19.350000,--,--,--,--,--,--
每股股息(仙),--,8.000000,--,--,--,6.000000,--,--
销售成本,-115.555,-429.704,-311.624,-199.626,-98.13,-425.722,-322.717,-212.725
折旧,-9.23,-35.703,-27.32,-18.053,-9.122,-37.573,-27.669,-18.331
销售及分销费用,-2.439,-10.401,-7.551,-5.167,-2.64,-10.902,-8.87,-5.915
一般及行政费用,-4.99,-19.24,-14.689,-9.738,-4.634,-19.372,-18.716,-13.639
利息费用/融资成本,-0.296,-1.23,-0.916,-0.593,-0.295,-1.584,-1.24,-0.815
毛利,16.296,70.684,52.422,35.476,18.081,52.415,38.144,26.228
经营盈利,8.887,42.743,29.639,19.82,10.722,16.567,10.197,6.666
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,美元,美元,美元,美元,美元,美元,美元,美元
