报告期,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,74443.37,26347.83,33927.99,13778.81,12988.08,4018.96
除税前盈利/(亏损),-131808.73,-28647.76,-18933.66,-12391.84,-10631.1,-9242.73
税项,2.15,-133.53,-54.22,-45.32,-267.9,11.65
除税后盈利/(亏损),-131810.88,-28781.29,-18987.88,-12437.16,-5795,-10519.34
少数股东权益,-17.72,-24.43,-71.26,-33.65,-5.1,
股东应占盈利/(亏损),-131793.16,-28756.85,-18916.62,-12403.51,-5789.9,-10519.34
股息,,,,,,
除税及股息后盈利/(亏损),,-28756.85,-18916.62,-12403.51,-5789.9,-10519.34
基本每股盈利(仙),-4839.08,-1853,-1237,-821,-398,-989
摊薄每股盈利(仙),-4839.08,-1853,-1237,-821,-398,-989
每股股息(仙),--,--,--,--,--,--
销售成本,57204.2,-20295.1,-21708.48,-8343.94,-7046.84,-1239.5
折旧,--,-1547.22,-327.7,-142.35,-266.3,-102.39
销售及分销费用,18114.47,-6714.58,-10908.69,-4362.9,-8337.13,-7140.96
一般及行政费用,6655.66,-1663.49,-2171.41,-732.53,-1722.61,-2905.42
利息费用/融资成本,51.05,-13.84,-19.21,-3.25,-55.98,-56.56
毛利,17239.17,6052.72,12219.5,5434.88,5941.24,2779.46
经营盈利,-12652.13,-3899.84,-3826.09,-1250.12,-6255.41,-8473.94
应占联营公司盈利,--,--,-10.42,--,-28.02,-0.66
币种,港币,人民币,人民币,人民币,人民币,人民币
